,,,
,ID,会社名,担当者
,8306,株式会社625タクシー(千里営業所),植野
,8324,オーエスタクシー(オーエストランスポート株式会社),植野
,1697,勝田台交通株式会社,田代
,7644,有限会社鹿島水郷タクシー,田代
,5870,三ツ矢エミタスタクシー株式会社(八千代営業所）,田代
,3843,株式会社八重洲タクシー(世田谷営業所),田代
,6159,小湊鐵道タクシー株式会社,田代
,4757,帝都葛飾交通株式会社,田代
,8385,京成タクシーイースト株式会社(かずさ営業所),田代
,8362,東都交通株式会社,田代
,6955,帝都日新交通株式会社,田代
,1792,有限会社ニュー千都タクシー,田代
,8398,株式会社625タクシー(阿倍野営業所),植野
,4791,エスコート交通株式会社,田代
,5688,開進交通株式会社(世田谷営業所),田代
,7780,都自動車株式会社,田代
,5206,所沢交通株式会社,田代
,4605,開進交通株式会社(本社営業所),田代
,3893,大和自動車交通王子株式会社(旧：大和自動車交通羽田株式会社),田代
,4937,大和自動車交通江東株式会社,田代
,6496,大和自動車交通北千住株式会社(旧：株式会社丸井自動車),田代
,4925,大和交通保谷株式会社,田代
,4927,大和自動車交通立川株式会社,田代
,6964,大和自動車交通吉祥寺株式会社,田代
,7742,大和自動車交通府中株式会社(旧:十全交通),田代
,7738,大和自動車交通ハイヤー株式会社,田代
,2009,瀬谷交通有限会社,田代
,6989,横浜交通株式会社(横須賀営業所)(旧:オリオンタクシー株式会社),田代
,7003,城西タクシー株式会社,田代
,8480,ワールド交通株式会社(川崎営業所),田代
,4785,小田急交通株式会社(世田谷営業所),田代
,4710,株式会社八重洲タクシー(川崎営業所),田代
,4531,帝都自動車交通株式会社(日暮里営業所),田代
,3887,山手交通株式会社(赤羽営業所),田代
,4574,小田急交通株式会社(蒲田営業所),田代
,3798,ミツワ交通株式会社,田代
,4652,栄泉交通株式会社,田代
,8497,京浜ハイヤー株式会社(上大岡営業所),田代
,8508,長野タクシー株式会社,植野
,7809,武蔵モビリティサービス株式会社(東京交通株式会社),田代
,7834,中京自動車株式会社,田代
,6304,山手観光自動車株式会社(足立入谷営業所),田代
